,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
3132,390297.475,Flight3_cam1-001-000100-0,-3098040.568025161,3483615.659404566,333.4468994140625,NkuluEP,2020-01-16,2020-01-16 14:24:57.475,14:24:57,52.45042083333334,33.01495791666667,21.97592451388889,0.0,3.9,0.84,19.417605208333335,18.677605208333333,1528315.1749558682,1449625.0705179374
3133,390298.943,Flight3_cam1-001-000101-0,-3098027.928749435,3483611.023065181,333.4922790527344,NkuluEP,2020-01-16,2020-01-16 14:24:58.943,14:24:58,52.450176166666665,33.01498238333333,21.97587150277778,0.0,3.9,0.84,19.417544041666666,18.677544041666664,1528311.3079400735,1449626.1363336474
3134,390300.945,Flight3_cam1-001-000102-0,-3098011.314709681,3483604.969482091,333.4677124023437,NkuluEP,2020-01-16,2020-01-16 14:25:00.945,14:25:00,52.4498425,33.01501575,21.975799208333335,0.0,3.9,0.84,19.417460625,18.677460625,1528306.0342577707,1449627.5898507126
3135,390302.947,Flight3_cam1-001-000103-0,-3097994.733354338,3483598.942393494,333.4253845214844,NkuluEP,2020-01-16,2020-01-16 14:25:02.947,14:25:02,52.44950883333334,33.01504911666667,21.975726913888888,0.0,3.9,0.84,19.417377208333335,18.677377208333333,1528300.7605754682,1449629.0433677775
3136,390305.617,Flight3_cam1-001-000104-0,-3097972.2558976854,3483590.5633370485,333.32867431640625,NkuluEP,2020-01-16,2020-01-16 14:25:05.617,14:25:05,52.449063833333334,33.01509361666667,21.97563049722222,0.0,3.9,0.84,19.41726595833333,18.677265958333333,1528293.7272429264,1449630.9818745526
3137,390306.951,Flight3_cam1-001-000105-0,-3097961.087456997,3483586.409104221,333.33709716796875,NkuluEP,2020-01-16,2020-01-16 14:25:06.951,14:25:06,52.4488415,33.01511585,21.975582325,0.0,3.9,0.84,19.417210375,18.677210374999998,1528290.2132108626,1449631.9504019076
3138,390308.953,Flight3_cam1-001-000106-0,-3097944.482255868,3483580.290296209,333.3101501464844,NkuluEP,2020-01-16,2020-01-16 14:25:08.953,14:25:08,52.44850783333334,33.015149216666664,21.975510030555558,0.0,3.9,0.84,19.417126958333334,18.677126958333332,1528284.9395285598,1449633.4039189725
3139,390310.955,Flight3_cam1-001-000107-0,-3097927.976626038,3483574.193592433,333.27880859375,NkuluEP,2020-01-16,2020-01-16 14:25:10.955,14:25:10,52.44817416666667,33.015182583333335,21.97543773611111,0.0,3.9,0.84,19.417043541666665,18.677043541666666,1528279.665846257,1449634.8574360374
3140,390313.091,Flight3_cam1-001-000108-0,-3097910.2297478374,3483567.7719804486,333.24884033203125,NkuluEP,2020-01-16,2020-01-16 14:25:13.091,14:25:13,52.447818166666664,33.01521818333333,21.975360602777776,0.0,3.9,0.84,19.416954541666666,18.676954541666664,1528274.0391802236,1449636.4082414575
3141,390315.493,Flight3_cam1-001-000109-0,-3097890.2205838254,3483560.466072338,333.25860595703125,NkuluEP,2020-01-16,2020-01-16 14:25:15.493,14:25:15,52.44741783333333,33.015258216666666,21.975273863888887,0.0,3.9,0.84,19.416854458333333,18.67685445833333,1528267.711815143,1449638.1521715224
3142,390316.961,Flight3_cam1-001-000110-0,-3097877.567488019,3483555.802937362,333.2421264648437,NkuluEP,2020-01-16,2020-01-16 14:25:16.961,14:25:16,52.447173166666666,33.01528268333333,21.975220852777777,0.0,3.9,0.84,19.416793291666664,18.676793291666666,1528263.8447993486,1449639.2179872324
3143,390318.963,Flight3_cam1-001-000111-0,-3097861.0200823364,3483549.6825330555,333.2384338378906,NkuluEP,2020-01-16,2020-01-16 14:25:18.963,14:25:18,52.4468395,33.01531605,21.975148558333334,0.0,3.9,0.84,19.416709875,18.676709875,1528258.5711170458,1449640.6715042975
3144,390320.965,Flight3_cam1-001-000112-0,-3097844.551386028,3483543.517678402,333.1911926269531,NkuluEP,2020-01-16,2020-01-16 14:25:20.965,14:25:20,52.44650583333333,33.015349416666666,21.975076263888887,0.0,3.9,0.84,19.416626458333333,18.67662645833333,1528253.297434743,1449642.1250213624
3145,390323.501,Flight3_cam1-001-000113-0,-3097823.5324451714,3483535.7856621398,333.1152648925781,NkuluEP,2020-01-16,2020-01-16 14:25:23.501,14:25:23,52.44608316666667,33.015391683333334,21.97498468611111,0.0,3.9,0.84,19.416520791666667,18.676520791666665,1528246.617085932,1449643.9662397825
3146,390324.969,Flight3_cam1-001-000114-0,-3097810.9207441746,3483531.0973130413,333.1131591796875,NkuluEP,2020-01-16,2020-01-16 14:25:24.969,14:25:24,52.44583850000001,33.01541615,21.974931675,0.0,3.9,0.84,19.416459625,18.676459625,1528242.7500701377,1449645.0320554925
3147,390326.971,Flight3_cam1-001-000115-0,-3097794.346146053,3483524.990182068,333.1181335449219,NkuluEP,2020-01-16,2020-01-16 14:25:26.971,14:25:26,52.44550483333333,33.01544951666666,21.974859380555554,0.0,3.9,0.84,19.416376208333332,18.67637620833333,1528237.4763878346,1449646.4855725574
3148,390328.973,Flight3_cam1-001-000116-0,-3097777.8851736137,3483519.0011875043,333.1033020019531,NkuluEP,2020-01-16,2020-01-16 14:25:28.973,14:25:28,52.44517116666667,33.015482883333334,21.97478708611111,0.0,3.9,0.84,19.416292791666667,18.676292791666665,1528232.202705532,1449647.9390896223
3149,390331.109,Flight3_cam1-001-000117-0,-3097760.130280926,3483512.522378895,333.1030578613281,NkuluEP,2020-01-16,2020-01-16 14:25:31.109,14:25:31,52.44481516666667,33.01551848333333,21.97470995277778,0.0,3.9,0.84,19.416203791666668,18.676203791666666,1528226.5760394987,1449649.4898950425
3150,390333.511,Flight3_cam1-001-000118-0,-3097740.289181401,3483505.366323831,333.03094482421875,NkuluEP,2020-01-16,2020-01-16 14:25:33.511,14:25:33,52.44441483333333,33.015558516666665,21.97462321388889,0.0,3.9,0.84,19.41610370833333,18.676103708333333,1528220.248674418,1449651.2338251076
3151,390334.979,Flight3_cam1-001-000119-0,-3097727.722697892,3483500.773734279,333.0409240722656,NkuluEP,2020-01-16,2020-01-16 14:25:34.979,14:25:34,52.44417016666667,33.01558298333333,21.974570202777777,0.0,3.9,0.84,19.416042541666666,18.676042541666668,1528216.3816586237,1449652.2996408176
3152,390336.981,Flight3_cam1-001-000120-0,-3097711.1479003886,3483494.553697891,333.01080322265625,NkuluEP,2020-01-16,2020-01-16 14:25:36.981,14:25:36,52.443836499999996,33.01561635,21.974497908333333,0.0,3.9,0.84,19.415959124999997,18.675959125,1528211.1079763207,1449653.7531578825
3153,390338.983,Flight3_cam1-001-000121-0,-3097694.486778309,3483488.279978684,333.0226135253906,NkuluEP,2020-01-16,2020-01-16 14:25:38.983,14:25:38,52.44350283333333,33.015649716666665,21.97442561388889,0.0,3.9,0.84,19.41587570833333,18.675875708333333,1528205.834294018,1449655.2066749474
3154,390341.519,Flight3_cam1-001-000122-0,-3097673.3033001814,3483480.592623118,333.03643798828125,NkuluEP,2020-01-16,2020-01-16 14:25:41.519,14:25:41,52.443080166666675,33.01569198333333,21.974334036111113,0.0,3.9,0.84,19.41577004166667,18.675770041666667,1528199.1539452071,1449657.0478933675
3155,390342.987,Flight3_cam1-001-000123-0,-3097660.666264902,3483475.983581548,333.0009460449219,NkuluEP,2020-01-16,2020-01-16 14:25:42.987,14:25:42,52.4428355,33.01571645,21.974281025,0.0,3.9,0.84,19.415708875,18.675708874999998,1528195.2869294125,1449658.1137090775
3156,390344.989,Flight3_cam1-001-000124-0,-3097643.984115487,3483469.858971092,333.0171813964844,NkuluEP,2020-01-16,2020-01-16 14:25:44.989,14:25:44,52.44250183333334,33.01574981666667,21.974208730555556,0.0,3.9,0.84,19.415625458333334,18.675625458333332,1528190.0132471097,1449659.5672261424
3157,390346.991,Flight3_cam1-001-000125-0,-3097627.5354179284,3483463.811227133,332.94793701171875,NkuluEP,2020-01-16,2020-01-16 14:25:46.991,14:25:46,52.442168166666676,33.01578318333333,21.974136436111113,0.0,3.9,0.84,19.41554204166667,18.675542041666667,1528184.739564807,1449661.0207432075
3158,390348.993,Flight3_cam1-001-000126-0,-3097611.0839118506,3483457.692679796,332.9267578125,NkuluEP,2020-01-16,2020-01-16 14:25:48.993,14:25:48,52.4418345,33.01581655,21.974064141666666,0.0,3.9,0.84,19.415458625,18.675458624999997,1528179.4658825041,1449662.4742602725
3159,390351.529,Flight3_cam1-001-000127-0,-3097589.8943932373,3483449.9641668,332.9583740234375,NkuluEP,2020-01-16,2020-01-16 14:25:51.529,14:25:51,52.44141183333334,33.015858816666665,21.97397256388889,0.0,3.9,0.84,19.415352958333333,18.675352958333335,1528172.7855336932,1449664.3154786925
