GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky,day
290030.069,Flight3_cam1-000-000214-0,7211037.488537524,328318.4104099728,675.957275390625,HlangwineEP,2020-01-22,2020-01-22 10:33:50.069,10:33:50,47.61655166666664,29.82029886111112,17.46737010555555,0.0,2.769172416666668,0.5694735638888893,14.903760911111108,14.61503907222222,1489193.7586559865,1306614.546136171,22.0
290035.407,Flight3_cam1-000-000215-0,7211074.172004795,328297.54253854894,674.5723266601562,HlangwineEP,2020-01-22,2020-01-22 10:33:55.407,10:33:55,47.60765499999999,29.82192991666667,17.46591698333333,0.0,2.7696172500000005,0.5695773583333334,14.902456066666666,14.613763883333332,1489183.6712876258,1306635.910389847,22.0
290037.409,Flight3_cam1-000-000216-0,7211089.048599635,328300.5724269949,674.5,HlangwineEP,2020-01-22,2020-01-22 10:33:57.409,10:33:57,47.60431833333336,29.82254163888889,17.465371994444446,0.0,2.7697840833333323,0.5696162861111108,14.901966688888892,14.61328562777778,1489179.8880520586,1306643.9229855489,22.0
290040.079,Flight3_cam1-000-000217-0,7211102.187568035,328318.4247923975,674.91796875,HlangwineEP,2020-01-22,2020-01-22 10:34:00.079,10:34:00,47.59986833333329,29.82335747222223,17.464645161111104,0.0,2.7700065833333354,0.5696682027777783,14.901314022222216,14.612647794444438,1489174.8424781505,1306654.6091146823,22.0
290042.348,Flight3_cam1-000-000218-0,7211107.786037706,328333.2792668108,675.2520141601562,HlangwineEP,2020-01-22,2020-01-22 10:34:02.348,10:34:02,47.59608666666667,29.824050777777774,17.46402748888889,0.0,2.7701956666666665,0.5697123222222222,14.900759377777778,14.612105755555556,1489170.5546851922,1306663.690323298,22.0
290043.682,Flight3_cam1-000-000219-0,7211111.287317037,328341.1446986379,675.4699096679688,HlangwineEP,2020-01-22,2020-01-22 10:34:03.682,10:34:03,47.59386333333338,29.82445838888888,17.463664344444453,0.0,2.770306833333331,0.5697382611111106,14.900433288888896,14.611787077777784,1489168.0337879662,1306669.0293855688,22.0
290045.417,Flight3_cam1-000-000220-0,7211115.994998447,328352.3394645307,675.859375,HlangwineEP,2020-01-22,2020-01-22 10:34:05.417,10:34:05,47.59097166666664,29.824988527777784,17.463192038888884,0.0,2.770451416666668,0.5697719972222225,14.900009177777774,14.611372605555552,1489164.7551097898,1306675.973368358,22.0
290048.087,Flight3_cam1-000-000221-0,7211115.240068428,328373.60356646497,676.7058715820312,HlangwineEP,2020-01-22,2020-01-22 10:34:08.087,10:34:08,47.58652166666667,29.82580436111111,17.462465205555556,0.0,2.7706739166666665,0.5698239138888889,14.899356511111112,14.610734772222225,1489159.7095358814,1306686.659497491,22.0
290049.421,Flight3_cam1-000-000222-0,7211109.724409796,328382.70250058576,677.1558227539062,HlangwineEP,2020-01-22,2020-01-22 10:34:09.421,10:34:09,47.58429833333338,29.82621197222221,17.462102061111118,0.0,2.770785083333331,0.5698498527777772,14.899030422222229,14.610416094444451,1489157.1886386557,1306691.9985597625,22.0
290053.025,Flight3_cam1-000-000223-0,7211087.4188857395,328398.6156456959,678.242431640625,HlangwineEP,2020-01-22,2020-01-22 10:34:13.025,10:34:13,47.57829166666663,29.82731319444445,17.461120972222215,0.0,2.7710854166666685,0.569919930555556,14.89814944444444,14.609555138888885,1489150.378058743,1306706.422832945,22.0
