,GPSTime,Imagef,Northing,Easting,Altitude,Site,Date,DateTime,Time,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,STRD,STRD_Clearsky
578,199948.566,cam1-002-000025-0,7299688.120130423,375670.7417079954,376.3845520019531,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:28.566,09:32:28,61.91746333333334,25.624761,17.777063416666667,0.0,2.8,0.52,15.177063416666666,14.2024761,1410488.8818234452,1284057.71638683
579,199951.502,cam1-002-000026-0,7299687.309363782,375664.9235564758,376.4614868164063,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:31.502,09:32:31,61.91583222222222,25.625250333333334,17.777104194444444,0.0,2.8,0.52,15.177104194444444,14.202525033333334,1410445.3983153317,1284061.92662551
580,199954.571,cam1-002-000027-0,7299686.551291216,375659.4411525696,376.5744018554688,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:34.571,09:32:34,61.91412722222223,25.625761833333332,17.777146819444443,0.0,2.8,0.52,15.177146819444443,14.202576183333333,1410399.9450161492,1284066.327586855
581,199958.976,cam1-002-000028-0,7299686.819826666,375651.4671086128,376.4324645996094,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:38.976,09:32:38,61.911680000000004,25.626496,17.777208,0.0,2.8,0.52,15.177208,14.2026496,1410334.70494352,1284072.64437888
582,199960.577,cam1-002-000029-0,7299688.248275282,375641.7027017245,376.2743225097656,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:40.577,09:32:40,61.910790555555565,25.62676283333333,17.777230236111112,0.0,2.8,0.52,15.17723023611111,14.202676283333334,1410310.9933983944,1284074.940220885
583,199963.514,cam1-002-000030-0,7299690.632888321,375618.7371661314,376.1625061035156,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:43.514,09:32:43,61.90915888888889,25.62725233333333,17.77727102777778,0.0,2.8,0.52,15.177271027777778,14.202725233333334,1410267.4950798217,1284079.15189357
584,199966.583,cam1-002-000031-0,7299691.0411866,375613.7162381536,376.1198425292969,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:46.583,09:32:46,61.90745388888888,25.627763833333336,17.777313652777778,0.0,2.8,0.52,15.177313652777778,14.202776383333333,1410222.041780639,1284083.5528549151
585,199969.52,cam1-002-000032-0,7299691.464682646,375604.50817112153,376.1367492675781,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:49.520,09:32:49,61.90582222222223,25.62825333333333,17.777354444444445,0.0,2.8,0.52,15.177354444444443,14.202825333333333,1410178.543462067,1284087.7645276
586,199972.589,cam1-002-000033-0,7299691.144436946,375580.1423180746,376.0702819824219,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:52.589,09:32:52,61.90411722222222,25.628764833333335,17.777397069444444,0.0,2.8,0.52,15.177397069444444,14.202876483333334,1410133.090162884,1284092.165488945
587,199975.526,cam1-002-000034-0,7299690.707954133,375555.7952366584,376.0355529785156,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:55.526,09:32:55,61.90248555555555,25.629254333333336,17.77743786111111,0.0,2.8,0.52,15.17743786111111,14.202925433333334,1410089.5918443114,1284096.37716163
588,199978.595,cam1-002-000035-0,7299690.561099377,375532.6400239621,376.05706787109375,BuffaloCamp100m,2020-01-21,2020-01-21 09:32:58.595,09:32:58,61.900780555555556,25.629765833333334,17.777480486111113,0.0,2.8,0.52,15.177480486111111,14.202976583333333,1410044.1385451292,1284100.778122975
589,199981.532,cam1-002-000036-0,7299690.405038901,375509.5130219363,376.117431640625,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:01.532,09:33:01,61.89914888888889,25.630255333333334,17.77752127777778,0.0,2.8,0.52,15.177521277777778,14.203025533333333,1410000.6402265567,1284104.9897956601
590,199984.601,cam1-002-000037-0,7299690.149294632,375484.9813950772,376.1315002441406,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:04.601,09:33:04,61.897443888888894,25.630766833333332,17.77756390277778,0.0,2.8,0.52,15.177563902777777,14.203076683333334,1409955.1869273742,1284109.390757005
591,199987.538,cam1-002-000038-0,7299690.057907246,375461.3987270295,376.180419921875,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:07.538,09:33:07,61.89581222222222,25.631256333333333,17.777604694444445,0.0,2.8,0.52,15.177604694444444,14.203125633333334,1409911.6886088017,1284113.60242969
592,199990.607,cam1-002-000039-0,7299689.814538024,375436.7219060609,376.26080322265625,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:10.607,09:33:10,61.89410722222223,25.63176783333333,17.777647319444444,0.0,2.8,0.52,15.177647319444445,14.203176783333333,1409866.2353096195,1284118.003391035
593,199993.543,cam1-002-000040-0,7299689.695282424,375413.1166362991,376.3030395507813,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:13.543,09:33:13,61.89247611111111,25.632257166666665,17.777688097222224,0.0,2.8,0.52,15.177688097222221,14.203225716666667,1409822.7518015057,1284122.2136297151
594,199996.613,cam1-002-000041-0,7299689.423235502,375388.97616147326,376.3341369628906,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:16.613,09:33:16,61.89077055555555,25.632768833333333,17.777730736111113,0.0,2.8,0.52,15.17773073611111,14.203276883333334,1409777.283691864,1284126.616025065
595,199999.549,cam1-002-000042-0,7299689.012169583,375365.64258016105,376.2494812011719,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:19.549,09:33:19,61.889139444444446,25.633258166666668,17.77777151388889,0.0,2.8,0.52,15.177771513888889,14.203325816666666,1409733.800183751,1284130.826263745
596,200002.619,cam1-002-000043-0,7299688.887225462,375340.9065542285,376.34716796875,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:22.619,09:33:22,61.887433888888886,25.633769833333332,17.77781415277778,0.0,2.8,0.52,15.177814152777778,14.203376983333333,1409688.332074109,1284135.228659095
597,200005.555,cam1-002-000044-0,7299688.728929417,375317.3606488185,376.3279113769531,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:25.555,09:33:25,61.88580277777778,25.634259166666666,17.777854930555556,0.0,2.8,0.52,15.177854930555554,14.203425916666667,1409644.848565996,1284139.438897775
598,200008.625,cam1-002-000045-0,7299688.419592151,375292.6949779693,376.3490295410156,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:28.625,09:33:28,61.88409722222222,25.634770833333334,17.777897569444445,0.0,2.8,0.52,15.177897569444443,14.203477083333334,1409599.3804563542,1284143.841293125
599,200011.561,cam1-002-000046-0,7299688.568099796,375269.088408416,376.3491516113281,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:31.561,09:33:31,61.88246611111112,25.635260166666665,17.77793834722222,0.0,2.8,0.52,15.177938347222222,14.203526016666666,1409555.896948241,1284148.051531805
600,200014.631,cam1-002-000047-0,7299688.070331033,375246.0466976452,376.3351135253906,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:34.631,09:33:34,61.88076055555556,25.635771833333333,17.77798098611111,0.0,2.8,0.52,15.17798098611111,14.203577183333334,1409510.4288385992,1284152.4539271551
601,200017.567,cam1-002-000048-0,7299689.244944417,375232.4066633873,376.33349609375,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:37.567,09:33:37,61.87912944444444,25.636261166666667,17.77802176388889,0.0,2.8,0.52,15.17802176388889,14.203626116666667,1409466.9453304857,1284156.6641658351
602,200020.637,cam1-002-000049-0,7299686.033145737,375213.2915989616,376.4223937988281,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:40.637,09:33:40,61.8774238888889,25.636772833333332,17.77806440277778,0.0,2.8,0.52,15.178064402777778,14.203677283333333,1409421.4772208445,1284161.066561185
603,200023.573,cam1-002-000050-0,7299674.205029154,375210.286474442,376.2304382324219,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:43.573,09:33:43,61.875792777777775,25.637262166666666,17.778105180555556,0.0,2.8,0.52,15.178105180555555,14.203726216666666,1409377.9937127307,1284165.276799865
604,200028.245,cam1-002-000051-0,7299667.572884252,375248.6145320734,376.2351989746094,BuffaloCamp100m,2020-01-21,2020-01-21 09:33:48.245,09:33:48,61.873197222222224,25.63804083333333,17.778170069444446,0.0,2.8,0.52,15.178170069444445,14.203804083333333,1409308.7992475042,1284171.976471225
