,GPSTime,Lat,Lon,Easting,Northing,Altitude,Roll,Pitch,Heading
22843,114203.97306228,-23.756120781151605,31.443304590504958,341356.61344119906,7371905.530751898,388.6705627441406,0.034843,-0.0812993,-0.9339654
22844,114204.04506260999,-23.756117526275567,31.4433002017975,341356.16216556856,7371905.886293745,388.6729736328125,0.0370556,-0.0821582,-0.9346662000000001
22845,114204.1250629688,-23.75611391237367,31.443295327154885,341355.6609245357,7371906.281051209,388.6764831542969,0.0391978,-0.08115,-0.935155
22846,114204.20506333999,-23.75611030094867,31.443290458623526,341355.1603093823,7371906.67554119,388.6804504394531,0.0397523,-0.0816504,-0.9351191000000001
22847,114204.2850637,-23.756106692575695,31.44328559368724,341354.6600643378,7371907.069697191,388.6854248046875,0.03933190000000001,-0.0856012,-0.9352827
22848,114204.36506409,-23.756103086430436,31.443280725237262,341354.1594638254,7371907.463602562,388.69097900390625,0.0418529,-0.0869947,-0.9351087
22849,114204.44506443001,-23.756099478828066,31.44327585681394,341353.65886423574,7371907.857669305,388.69586181640625,0.04519940000000001,-0.08635110000000001,-0.9347616
22850,114204.52506479001,-23.75609586676087,31.44327099347251,341353.15877718956,7371908.252236129,388.7003173828125,0.0439126,-0.0871021,-0.9344561
22851,114204.6050651555,-23.756092252071284,31.443266130587382,341352.65873344673,7371908.6470938455,388.7049865722656,0.0418789,-0.0860865,-0.9348968
22852,114204.68506552,-23.756088638702607,31.443261266778514,341352.15859712265,7371909.04180424,388.709716796875,0.0422091,-0.0835299,-0.9343406
22853,114204.76506595999,-23.75608502896782,31.443256408590315,341351.6590380778,7371909.43611848,388.71453857421875,0.041948,-0.0838004,-0.9343066
22854,114204.84506633,-23.756081424137776,31.44325155516873,341351.15997080004,7371909.829894882,388.7195129394531,0.04119350000000001,-0.0862498,-0.9341163
22855,114204.92506659,-23.75607782334703,31.443246700241907,341350.6607549673,7371910.223222284,388.72430419921875,0.0425087,-0.088013,-0.9344804
22856,114205.0,-23.756074451340467,31.443242150407183,341350.1929137424,7371910.591554977,388.728271484375,0.0435816,-0.0874839,-0.9347325071795863
22857,114205.07706731513,-23.756070985962204,31.443237472851365,341349.7119410044,7371910.970084947,388.7325744628906,0.0433083,-0.087854,-0.9346237
22858,114205.15706768,-23.75606739141645,31.443232618791235,341349.2128210035,7371911.36272171,388.7366943359375,0.043971,-0.0909746,-0.934257
22859,114205.23706799,-23.756063794783312,31.44322776520727,341348.7137469784,7371911.755590141,388.73974609375,0.0421711,-0.0924563,-0.9337826
22860,114205.31706843483,-23.75606019749996,31.4432229075074,341348.2142526144,7371912.148525968,388.7426452636719,0.0384923,-0.0922985,-0.9333524
22861,114205.39706876999,-23.756056605940042,31.44321803936897,341347.7137011854,7371912.540816327,388.74578857421875,0.039521,-0.0922556,-0.9326097
22862,114205.47706913,-23.756053017673068,31.443213164562557,341347.2124740716,7371912.932734573,388.7496032714844,0.0416372,-0.0899813,-0.9316474
22863,114205.55706949999,-23.75604943130166,31.44320828879401,341346.7111511603,7371913.32444182,388.7542419433594,0.0434304,-0.0889626,-0.9314342000000001
22864,114205.63706986,-23.756045845040695,31.44320341238337,341346.2097629082,7371913.716136102,388.7586669921875,0.0459172,-0.0890608,-0.9314544
22865,114205.71707023,-23.75604225669705,31.443198535055682,341345.7082786317,7371914.108059979,388.7627258300781,0.046105600000000004,-0.086565,-0.9309718
22866,114205.79707059001,-23.756038670063546,31.443193661666225,341345.2071978146,7371914.499798857,388.766845703125,0.0451103,-0.0869645,-0.9307735
22867,114205.87707096,-23.756035084929593,31.44318878825452,341344.7061165209,7371914.891371635,388.7715148925781,0.043418,-0.0900112,-0.9307849000000001
22868,114205.95707132001,-23.7560315023822,31.443183908233564,341344.2043646716,7371915.282650591,388.7765808105469,0.044364,-0.0920271,-0.9312333
22869,114206.02907165,-23.756028277150477,31.4431795106913,341343.75222385826,7371915.6348994635,388.78118896484375,0.0451099,-0.0928171,-0.9306225000000001
22870,114206.10907200999,-23.756024689463036,31.443174618460358,341343.2492211911,7371916.026733963,388.7862243652344,0.0425136,-0.0934427,-0.9303516
22871,114206.18907241999,-23.756021102494522,31.44316971688054,341342.74526646105,7371916.418478401,388.7912902832031,0.0424032,-0.09130320000000001,-0.9299501
22872,114206.26907273999,-23.75601751871732,31.44316481136134,341342.240914041,7371916.809865026,388.7960510253906,0.0431707,-0.0897711,-0.9287774
22873,114206.34907318,-23.75601393852635,31.44315990448087,341341.73642719066,7371917.200852983,388.8005676269531,0.0416178,-0.0914149,-0.9282621
22874,114206.42907347,-23.75601036414058,31.443154990741647,341341.23124825576,7371917.591190411,388.8048400878906,0.044511,-0.0923323,-0.9277724
22875,114206.50907379,-23.756006790977388,31.443150071306263,341340.72549018054,7371917.98138608,388.80828857421875,0.050379,-0.0927925,-0.9272714
22876,114206.5890742,-23.75600321168657,31.443145150519072,341340.21958686144,7371918.372258788,388.8112487792969,0.051968900000000005,-0.0930664,-0.927295
22877,114206.66907456797,-23.755999627440737,31.443140224555744,341339.71314991615,7371918.763674412,388.8138732910156,0.0554753,-0.0909161,-0.9272805
22878,114206.74907495,-23.7559960384965,31.443135299625492,341339.2068125453,7371919.155611463,388.8160400390625,0.060615,-0.0868972,-0.9264745
22879,114206.82907529999,-23.755992443579913,31.443130386937117,341338.70171568985,7371919.54822353,388.8181457519531,0.0600083,-0.086718,-0.9269416000000001
22880,114206.9090756564,-23.755988844751535,31.44312548118801,341338.1973213658,7371919.941276509,388.821044921875,0.0588823,-0.0882978,-0.9272173000000001
22881,114206.98907602867,-23.75598524056278,31.44312057746153,341337.69312667695,7371920.334925327,388.8244934082031,0.0587207,-0.08761530000000001,-0.9271689
22882,114207.06107637,-23.755981992741436,31.443116166476788,341337.23958799546,7371920.689660545,388.8280029296875,0.0575539,-0.0848041,-0.9267407
22883,114207.14107671566,-23.755978385889357,31.44311126951611,341336.7360796456,7371921.083611816,388.83306884765625,0.0588727,-0.0824913,-0.9264146
22884,114207.22107708,-23.75597478146395,31.44310638231967,341336.23356945533,7371921.477305241,388.8393859863281,0.0626638,-0.083132,-0.9257324
22885,114207.30107744,-23.755971172727907,31.443101507508835,341335.73231644457,7371921.871489827,388.8458251953125,0.0642601,-0.0860459,-0.9255840000000001
22886,114207.38107780518,-23.755967553695598,31.443096642019498,341335.23200103955,7371922.266824989,388.85235595703125,0.0618887,-0.08587050000000002,-0.9250523
22887,114207.4610782,-23.75596392969736,31.443091782608825,341334.7322991691,7371922.662716836,388.8591003417969,0.0614656,-0.0858381,-0.9242540000000001
22888,114207.54107853999,-23.755960303055144,31.443086928301746,341334.2331142621,7371923.058907152,388.8654479980469,0.0630273,-0.08798820000000002,-0.9240737
22889,114207.62107884999,-23.755956668501735,31.443082080719243,341333.7346051547,7371923.455981029,388.8702392578125,0.0639423,-0.087187,-0.923567
22890,114207.70107925999,-23.755953022853763,31.44307724270584,341333.2370579223,7371923.854294162,388.8739013671875,0.0620311,-0.0879245,-0.9231711
22891,114207.78107963,-23.755949368000334,31.44307241311099,341332.74035758316,7371924.253636071,388.8767395019531,0.058467000000000005,-0.0896824,-0.9230541
