,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg,Temperature_eVeg
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-001-001659-0.tif,Inside,175350.0,34.44696807861328,2.7742600440979004,30.57000732421875,31.970001220703125,33.69000244140625,36.769989013671875,41.92999267578125,175350.0,4.211240291595459,4.989567756652832,0.0,0.0560000017285347,2.1549999713897705,7.572999954223633,17.301000595092773,175350.0,264.3180236816406,1.0059369802474976,262.7969970703125,263.31298828125,264.2829895019531,265.14898681640625,266.99798583984375,175350.0,0.4575164043171533,0.3303990766361615,0.0,0.10576923076923077,0.49230769230769234,0.7652777777777778,1.0,175350.0,0.8468198331747275,0.8947319425648311,0.0,0.0,0.5819744629519858,1.6150783481517363,6.3598919569999675,175350.0,45.75164043171533,33.039907663616155,0.0,10.576923076923077,49.23076923076923,76.52777777777779,100.0,175350.0,34.44696807861328,2.7742600440979004,30.57000732421875,31.970001220703125,33.69000244140625,36.769989013671875,41.92999267578125
cam1-001-001659-0.tif,Outside,333270.0,36.18667221069336,2.490882396697998,31.010009765625,33.80999755859375,36.489990234375,38.489990234375,41.209991455078125,333270.0,2.2977705001831055,3.670193672180176,0.0,0.026000000536441803,0.054999999701976776,3.509999990463257,14.012999534606934,333270.0,265.091796875,1.3064476251602173,262.6159973144531,264.1449890136719,264.9100036621094,266.2250061035156,267.79998779296875,333270.0,0.249843660757511,0.2880459885447372,0.0,0.0,0.09375,0.49698795180722893,1.0,333270.0,0.40294218977750745,0.6108864529735444,0.0,0.0,0.0,0.801169513699825,3.4243952927837387,333270.0,24.9843660757511,28.80459885447371,0.0,0.0,9.375,49.6987951807229,100.0,333270.0,36.18667221069336,2.490882396697998,31.010009765625,33.80999755859375,36.489990234375,38.489990234375,41.209991455078125
cam1-001-001806-0.tif,Inside,1582623.0,35.66950988769531,1.7350242137908936,31.69000244140625,34.209991455078125,35.57000732421875,36.92999267578125,42.45001220703125,1582623.0,1.2081706523895264,1.5192476511001587,0.0,0.032999999821186066,0.15000000596046448,2.3239998817443848,10.28600025177002,1582623.0,278.4221496582031,1.86665678024292,274.00299072265625,277.1050109863281,278.2640075683594,279.61199951171875,282.8999938964844,1582623.0,0.27410968562810867,0.23067922411052613,0.0,0.046875,0.24561403508771928,0.46474358974358976,1.0,1582623.0,0.3732675820207808,0.47328841837134344,0.0,0.0,0.06956697084747689,0.74717273952364,5.2245115541729055,1582623.0,27.410968562810876,23.067922411052606,0.0,4.6875,24.561403508771928,46.47435897435898,100.0,1582623.0,35.66950988769531,1.7350242137908936,31.69000244140625,34.209991455078125,35.57000732421875,36.92999267578125,42.45001220703125
cam1-001-001806-0.tif,Outside,1603406.0,36.80083084106445,2.118192434310913,31.290008544921875,35.010009765625,36.889984130859375,38.529998779296875,43.769989013671875,1603406.0,0.7218018174171448,1.132131576538086,0.0,0.0,0.02800000086426735,1.3240000009536743,6.77400016784668,1603406.0,280.40234375,1.102065086364746,276.8380126953125,279.6239929199219,280.59100341796875,281.3190002441406,282.3580017089844,1603406.0,0.18758635905190454,0.25400888137461125,0.0,0.0,0.0,0.37179487179487175,1.0,1603406.0,0.33378398519732977,0.5452200562323156,0.0,0.0,0.0,0.5788393847006436,5.780743515792328,1603406.0,18.75863590519045,25.400888137461127,0.0,0.0,0.0,37.179487179487175,100.0,1603406.0,36.80083084106445,2.118192434310913,31.290008544921875,35.010009765625,36.889984130859375,38.529998779296875,43.769989013671875
cam1-001-001821-0.tif,Inside,413098.0,36.05247497558594,1.8083362579345703,31.889984130859375,34.529998779296875,36.04998779296875,37.489990234375,42.010009765625,413098.0,1.087544560432434,1.355188012123108,0.0,0.023000000044703484,0.10499999672174454,2.2149999141693115,5.650000095367432,413098.0,277.61138916015625,0.484218955039978,276.0950012207031,277.2829895019531,277.62298583984375,277.968994140625,278.6050109863281,413098.0,0.2668771503690967,0.2396646466338703,0.0,0.02727272727272727,0.23076923076923078,0.47,1.0,413098.0,0.3683633107529978,0.47245013285214166,0.0,0.0,0.054797948376228776,0.7390874454918291,2.772588722239781,413098.0,26.68771503690967,23.966464663387036,0.0,2.727272727272727,23.076923076923077,47.0,100.0,413098.0,36.05247497558594,1.8083362579345703,31.889984130859375,34.529998779296875,36.04998779296875,37.489990234375,42.010009765625
cam1-001-001821-0.tif,Outside,1284682.0,37.04182052612305,2.051832914352417,31.6099853515625,35.529998779296875,37.25,38.6099853515625,42.6099853515625,1284682.0,0.5920034050941467,1.018904209136963,0.0,0.0,0.024000000208616257,1.0199999809265137,6.02400016784668,1284682.0,278.3024597167969,1.1650017499923706,275.81500244140625,277.4020080566406,278.3739929199219,279.29901123046875,280.4079895019531,1284682.0,0.16326768236806374,0.222148738530434,0.0,0.0,0.038461538461538464,0.29069767441860467,1.0,1284682.0,0.2453887602962027,0.43873792603549927,0.0,0.0,0.0,0.32594713317881824,5.20537937088877,1284682.0,16.326768236806384,22.214873853043397,0.0,0.0,3.8461538461538463,29.069767441860467,100.0,1284682.0,37.04182052612305,2.051832914352417,31.6099853515625,35.529998779296875,37.25,38.6099853515625,42.6099853515625
cam1-001-002009-0.tif,Inside,2034410.0,34.68983459472656,1.5323244333267212,30.970001220703125,33.3699951171875,34.69000244140625,35.92999267578125,40.970001220703125,2034410.0,1.1157807111740112,1.4441345930099487,0.0,0.03099999949336052,0.0989999994635582,2.26200008392334,6.8979997634887695,2034410.0,273.9215393066406,1.5419316291809082,269.66900634765625,272.73199462890625,274.031005859375,275.0459899902344,277.093994140625,2034410.0,0.24857354256983408,0.23420223706046162,0.0,0.021739130434782608,0.18678160919540227,0.4482758620689655,1.0,2034410.0,0.34955012899143956,0.46828498497914256,0.0,0.0,0.02051300033437822,0.7092824328150826,3.6251004777942573,2034410.0,24.85735425698342,23.420223706046166,0.0,2.1739130434782608,18.678160919540225,44.827586206896555,100.0,2034410.0,34.68983459472656,1.5323244333267212,30.970001220703125,33.3699951171875,34.69000244140625,35.92999267578125,40.970001220703125
cam1-001-002009-0.tif,Outside,1061403.0,36.07005310058594,1.8872350454330444,31.089996337890625,34.69000244140625,36.3699951171875,37.529998779296875,41.57000732421875,1061403.0,0.5410425662994385,0.9617906808853149,0.0,0.01600000075995922,0.03200000151991844,0.6679999828338623,5.38100004196167,1061403.0,272.9784851074219,1.5028941631317139,268.3210144042969,271.9230041503906,272.96600341796875,274.260986328125,277.0299987792969,1061403.0,0.15279719509680356,0.22886224184985018,0.0,0.0,0.01639344262295082,0.25,1.0,1061403.0,0.23264364589786599,0.45433982044041893,0.0,0.0,0.0,0.21072103131565256,4.056296494584571,1061403.0,15.27971950968036,22.88622418498501,0.0,0.0,1.639344262295082,25.0,100.0,1061403.0,36.07005310058594,1.8872350454330444,31.089996337890625,34.69000244140625,36.3699951171875,37.529998779296875,41.57000732421875
cam1-001-002044-0.tif,Inside,2739639.0,34.43089294433594,1.8826088905334473,29.209991455078125,33.04998779296875,34.290008544921875,35.889984130859375,40.850006103515625,2739639.0,1.8207955360412598,2.516731023788452,0.0,0.03099999949336052,0.1809999942779541,3.11299991607666,15.609000205993652,2739639.0,268.63677978515625,2.133005380630493,264.4580078125,266.6189880371094,269.0899963378906,270.5119934082031,272.4649963378906,2739639.0,0.3048566525950732,0.27953910388493397,0.0,0.02564102564102564,0.25806451612903225,0.5266666666666666,1.0,2739639.0,0.4856725890891148,0.618577244324186,0.0,0.0,0.10931682507572817,0.9348568893719251,7.139473597883026,2739639.0,30.485665259507318,27.95391038849341,0.0,2.564102564102564,25.806451612903224,52.666666666666664,100.0,2739639.0,34.43089294433594,1.8826088905334473,29.209991455078125,33.04998779296875,34.290008544921875,35.889984130859375,40.850006103515625
cam1-001-002044-0.tif,Outside,169582.0,33.461936950683594,2.4614932537078857,29.209991455078125,31.04998779296875,33.170013427734375,35.80999755859375,38.529998779296875,169582.0,3.5673887729644775,5.117231845855713,0.0,0.024000000208616257,0.22200000286102295,8.031000137329102,18.854999542236328,169582.0,265.8063659667969,0.7217465043067932,264.7170104980469,265.31298828125,265.5480041503906,266.2239990234375,268.2130126953125,169582.0,0.36394593706390194,0.3421099969094368,0.0,0.0,0.32291666666666663,0.6666666666666666,1.0,169582.0,0.5809999280011493,0.7964988602349734,0.0,0.0,0.0,1.1517158786525006,5.940828931139401,169582.0,36.3945937063902,34.21099969094369,0.0,0.0,32.291666666666664,66.66666666666666,100.0,169582.0,33.461936950683594,2.4614932537078857,29.209991455078125,31.04998779296875,33.170013427734375,35.80999755859375,38.529998779296875
