Station,Date,Time,Tdry_C,Max_Tdry_C,Min_Tdry_C,Rhum_Perc,Dewpoint_C,Rain_mm,WSpd_kmh,Wind_Degrees,Wind_Direction,Max WSpd km/h,Min_WSpd_kmh,Leaf_Wet_Perc,Srad_mJ,Sun_Hours,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,Battery,Data_type,Site
Satara,1/21/2020,6:00,18.9,0,0,81,15.57,0,7.92,180,S,10.8,7.92,0,0.1,1,0.01,13.29,12.26,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,7:00,21.3,0,0,72,16.05,0,7.92,180,S,10.8,7.92,0,0.4,1,0.09,13.68,12.67,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,8:00,23.6,0,0,68,17.35,0,6.84,180,S,9.36,6.84,0,2.4,1,0.42,14.79,13.78,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,9:00,25.3,0,0,63,17.75,0.1,6.84,158,SSE,9.36,6.84,0,2.8,1,0.52,15.15,14.17,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,10:00,25.9,0,0,61,17.8,0,6.12,135,SE,7.92,6.12,0,2.8,1,0.52,15.2,14.23,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,11:00,27.3,0,0,54,17.18,0,5.04,135,SE,6.84,5.04,0,2.9,1,0.56,14.64,13.72,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,12:00,28.3,0,0,51,17.19,0,5.04,90,E,6.84,5.04,0,3.2,1,0.64,14.66,13.77,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,13:00,28.8,0,0,52,17.96,0,7.92,90,E,10.8,7.92,0,3.2,1,0.64,15.34,14.45,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,14:00,28.5,0,0,54,18.29,0,7.92,90,E,10.8,7.92,0,3.2,1,0.64,15.64,14.73,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,15:00,29.1,0,0,49,17.29,0,6.12,90,E,7.92,6.12,0,2.8,1,0.57,14.74,13.87,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,16:00,28.2,0,0,54,18.01,0,6.84,90,E,9.36,6.84,0,2.5,1,0.5,15.39,14.47,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,17:00,24.9,0,0,73,19.72,0,7.92,113,ESE,10.8,7.92,0,2,1,0.35,17.03,15.99,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,18:00,23.5,0,0,77,19.23,0,6.84,113,ESE,9.36,6.84,0,1.7,0,0.29,16.54,15.48,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,19:00,21.8,0,0,85,19.16,0,6.12,135,SE,7.92,6.12,0,1.4,0,0.22,16.48,15.37,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,20:00,21.7,0,0,84,18.88,0,6.84,113,ESE,9.36,6.84,0,0,0,0,16.2,15.1,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,21:00,20.9,0,0,84,18.09,0,6.12,135,SE,7.92,6.12,0,0,0,0,15.47,14.37,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,22:00,19.8,0,0,87,17.57,0,3.96,135,SE,5.4,3.96,0,0,0,0,14.99,13.9,6.9,ForecastHistory,Buffalo Camp
Satara,1/21/2020,23:00,19.8,0,0,88,17.75,0,5.04,158,SSE,6.84,5.04,0,0,0,0,15.16,14.05,6.9,ForecastHistory,Buffalo Camp
Pretoriaskop,1/22/2020,0:00,18.8,0,0,88,16.77,0,2.88,113,ESE,3.96,2.88,0,0,0,0,14.29,13.74,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,1:00,18.7,0,0,88,16.67,0,2.16,90,E,2.52,2.16,0,0,0,0,14.2,13.65,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,2:00,18.4,0,0,88,16.38,0,2.88,338,NNW,3.96,2.88,0,0,0,0,13.95,13.4,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,3:00,17.8,0,0,91,16.31,0,2.16,45,NE,2.52,2.16,0,0,0,0,13.9,13.33,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,4:00,18.1,0,0,88,16.08,0,2.16,23,NNE,2.52,2.16,0,0,0,0,13.71,13.15,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,5:00,17.8,0,0,91,16.31,0,0,293,WNW,0,0,0,0,1,0,13.9,13.33,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,6:00,19.2,0,0,84,16.43,0,2.88,68,ENE,3.96,2.88,0,0.1,1,0,14,13.46,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,7:00,20.7,0,0,78,16.73,0,2.88,45,NE,3.96,2.88,0,0.2,1,0.05,14.25,13.73,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,8:00,22.1,0,0,73,17.03,0,3.96,45,NE,5.4,3.96,0,1.3,1,0.21,14.52,14.03,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,9:00,27.1,0,0,58,18.12,0,2.88,23,NNE,3.96,2.88,0,2.1,1,0.4,15.49,15.14,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,10:00,29.2,0,0,51,18.02,0,3.96,45,NE,5.4,3.96,0,2.6,1,0.53,15.4,15.1,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,11:00,30.3,0,0,45,17.04,0,5.04,45,NE,6.84,5.04,0,2.9,1,0.6,14.52,14.24,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,12:00,27.5,0,0,57,18.22,0,3.96,68,ENE,5.4,3.96,0,1.7,1,0.36,15.58,15.24,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,13:00,32,0,0,39,16.31,0,6.84,45,NE,9.36,6.84,0,3.2,1,0.7,13.9,13.66,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,14:00,32,0,0,39,16.31,0,6.12,23,NNE,7.92,6.12,0,3.2,1,0.69,13.9,13.66,6.9,ForecastHistory,Hlangwine
Pretoriaskop,1/22/2020,15:00,31.7,0,0,41,16.83,0,6.84,45,NE,9.36,6.84,0,2.8,1,0.61,14.34,14.1,6.9,ForecastHistory,Hlangwine
