,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,Elevation,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,CanopyDensity,PAI,PAI,PAI,PAI,PAI,PAI,PAI,PAI,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent,CanopyDensityPercent
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam1-001-001380-0.tif,Upland,Outside,846734.0,38.61750793457031,2.454742670059204,32.45001220703125,36.730010986328125,38.970001220703125,40.45001220703125,47.410003662109375,846734.0,0.6728748083114624,1.0781657695770264,0.0,0.02199999988079071,0.039000000804662704,1.2619999647140503,6.230000019073486,846734.0,272.1254577636719,1.1413041353225708,269.9360046386719,271.1929931640625,272.00799560546875,273.0199890136719,274.99200439453125,846734.0,0.168328755971644,0.23174865223749413,0.0,0.0,0.03076923076923077,0.3047619047619048,1.0,846734.0,0.24828084932254027,0.43167297964048273,0.0,0.0,0.0,0.3487067742895556,3.060780176598268,846734.0,16.832875597164403,23.174865223749418,0.0,0.0,3.076923076923077,30.476190476190478,100.0
cam1-001-001405-0.tif,Upland,Inside,1107827.0,36.225162506103516,1.9385756254196167,31.69000244140625,34.649993896484375,35.92999267578125,37.69000244140625,44.010009765625,1107827.0,1.4140691757202148,1.406950831413269,0.0,0.03799999877810478,1.3209999799728394,2.4549999237060547,8.065999984741211,1107827.0,274.5469055175781,1.7036606073379517,269.4150085449219,273.4330139160156,274.6300048828125,275.7250061035156,278.2070007324219,1107827.0,0.2988193845826845,0.23267528238582136,0.0,0.05454545454545454,0.30869565217391304,0.4949494949494948,1.0,1107827.0,0.493902969928226,0.4937830163516415,0.0,0.0,0.3815532436339055,0.9142186825210055,2.806982424433103,1107827.0,29.88193845826844,23.26752823858214,0.0,5.454545454545454,30.869565217391305,49.49494949494948,100.0
cam1-001-001405-0.tif,Upland,Outside,1941695.0,36.417198181152344,2.1669671535491943,30.80999755859375,34.57000732421875,36.3699951171875,38.209991455078125,44.529998779296875,1941695.0,1.077244758605957,1.4175174236297607,0.0,0.01899999938905239,0.07199999690055847,2.0759999752044678,7.355999946594238,1941695.0,275.027587890625,1.8679569959640503,269.78900146484375,273.760986328125,275.3699951171875,276.49700927734375,278.73199462890625,1941695.0,0.2486762167763855,0.26386929373032103,0.0,0.0,0.15384615384615385,0.47619047619047616,1.0,1941695.0,0.42362113934275736,0.5691682955198443,0.0,0.0,0.013559373970757608,0.8312141594691216,5.545177444479562,1941695.0,24.867621677638557,26.386929373032103,0.0,0.0,15.384615384615385,47.61904761904761,100.0
cam1-001-001659-0.tif,Lowland,Inside,175350.0,34.44696807861328,2.7742600440979004,30.57000732421875,31.970001220703125,33.69000244140625,36.769989013671875,41.92999267578125,175350.0,4.211240291595459,4.989567756652832,0.0,0.0560000017285347,2.1549999713897705,7.572999954223633,17.301000595092773,175350.0,264.3180236816406,1.0059369802474976,262.7969970703125,263.31298828125,264.2829895019531,265.14898681640625,266.99798583984375,175350.0,0.4575164043171533,0.3303990766361615,0.0,0.10576923076923077,0.49230769230769234,0.7652777777777778,1.0,175350.0,0.8468198331747275,0.8947319425648311,0.0,0.0,0.5819744629519858,1.6150783481517363,6.3598919569999675,175350.0,45.75164043171533,33.039907663616155,0.0,10.576923076923077,49.23076923076923,76.52777777777779,100.0
cam1-001-001659-0.tif,Lowland,Outside,333270.0,36.18667221069336,2.490882396697998,31.010009765625,33.80999755859375,36.489990234375,38.489990234375,41.209991455078125,333270.0,2.2977705001831055,3.670193672180176,0.0,0.026000000536441803,0.054999999701976776,3.509999990463257,14.012999534606934,333270.0,265.091796875,1.3064476251602173,262.6159973144531,264.1449890136719,264.9100036621094,266.2250061035156,267.79998779296875,333270.0,0.249843660757511,0.2880459885447372,0.0,0.0,0.09375,0.49698795180722893,1.0,333270.0,0.40294218977750745,0.6108864529735444,0.0,0.0,0.0,0.801169513699825,3.4243952927837387,333270.0,24.9843660757511,28.80459885447371,0.0,0.0,9.375,49.6987951807229,100.0
cam1-001-001806-0.tif,Upland,Inside,1582623.0,35.66950988769531,1.7350242137908936,31.69000244140625,34.209991455078125,35.57000732421875,36.92999267578125,42.45001220703125,1582623.0,1.2081706523895264,1.5192476511001587,0.0,0.032999999821186066,0.15000000596046448,2.3239998817443848,10.28600025177002,1582623.0,278.4221496582031,1.86665678024292,274.00299072265625,277.1050109863281,278.2640075683594,279.61199951171875,282.8999938964844,1582623.0,0.27410968562810867,0.23067922411052613,0.0,0.046875,0.24561403508771928,0.46474358974358976,1.0,1582623.0,0.3732675820207808,0.47328841837134344,0.0,0.0,0.06956697084747689,0.74717273952364,5.2245115541729055,1582623.0,27.410968562810876,23.067922411052606,0.0,4.6875,24.561403508771928,46.47435897435898,100.0
cam1-001-001806-0.tif,Upland,Outside,1603406.0,36.80083084106445,2.118192434310913,31.290008544921875,35.010009765625,36.889984130859375,38.529998779296875,43.769989013671875,1603406.0,0.7218018174171448,1.132131576538086,0.0,0.0,0.02800000086426735,1.3240000009536743,6.77400016784668,1603406.0,280.40234375,1.102065086364746,276.8380126953125,279.6239929199219,280.59100341796875,281.3190002441406,282.3580017089844,1603406.0,0.18758635905190454,0.25400888137461125,0.0,0.0,0.0,0.37179487179487175,1.0,1603406.0,0.33378398519732977,0.5452200562323156,0.0,0.0,0.0,0.5788393847006436,5.780743515792328,1603406.0,18.75863590519045,25.400888137461127,0.0,0.0,0.0,37.179487179487175,100.0
cam1-001-001821-0.tif,Upland,Inside,413098.0,36.05247497558594,1.8083362579345703,31.889984130859375,34.529998779296875,36.04998779296875,37.489990234375,42.010009765625,413098.0,1.087544560432434,1.355188012123108,0.0,0.023000000044703484,0.10499999672174454,2.2149999141693115,5.650000095367432,413098.0,277.61138916015625,0.484218955039978,276.0950012207031,277.2829895019531,277.62298583984375,277.968994140625,278.6050109863281,413098.0,0.2668771503690967,0.2396646466338703,0.0,0.02727272727272727,0.23076923076923078,0.47,1.0,413098.0,0.3683633107529978,0.47245013285214166,0.0,0.0,0.054797948376228776,0.7390874454918291,2.772588722239781,413098.0,26.68771503690967,23.966464663387036,0.0,2.727272727272727,23.076923076923077,47.0,100.0
cam1-001-001821-0.tif,Upland,Outside,1284682.0,37.04182052612305,2.051832914352417,31.6099853515625,35.529998779296875,37.25,38.6099853515625,42.6099853515625,1284682.0,0.5920034050941467,1.018904209136963,0.0,0.0,0.024000000208616257,1.0199999809265137,6.02400016784668,1284682.0,278.3024597167969,1.1650017499923706,275.81500244140625,277.4020080566406,278.3739929199219,279.29901123046875,280.4079895019531,1284682.0,0.16326768236806374,0.222148738530434,0.0,0.0,0.038461538461538464,0.29069767441860467,1.0,1284682.0,0.2453887602962027,0.43873792603549927,0.0,0.0,0.0,0.32594713317881824,5.20537937088877,1284682.0,16.326768236806384,22.214873853043397,0.0,0.0,3.8461538461538463,29.069767441860467,100.0
cam1-001-002009-0.tif,Lowland,Inside,618275.0,34.689361572265625,1.5674058198928833,31.3699951171875,33.329986572265625,34.529998779296875,35.970001220703125,40.489990234375,618275.0,1.1760908365249634,1.392989158630371,0.0,0.02800000086426735,0.10499999672174454,2.446000099182129,6.415999889373779,618275.0,272.0552978515625,0.7143813967704773,269.66900634765625,271.5929870605469,272.1409912109375,272.6050109863281,273.45098876953125,618275.0,0.24113564586709443,0.23264334625990496,0.0,0.011627906976744186,0.17592592592592593,0.4444444444444444,1.0,618275.0,0.38669033873819625,0.4800751899537189,0.0,0.0,0.0740825433606982,0.7893856215696168,3.5452484575956293,618275.0,24.113564586709444,23.264334625990486,0.0,1.1627906976744187,17.59259259259259,44.44444444444444,100.0
