site,imgf,temp_cd,temp_md,pai_cd,pai_md,height_cd,height_md,GPSTime,Northing,Easting,Altitude,Date,DateTime,Time,H,M,S,RH,AirTemp,Dewpoint_C,Leaf_Wet_Perc,Srad_mJ,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,site_f,Time_f,DateTime_f,Time_num,AirTemp_scaled,RH_scaled,temp_cd_scaled,pai_cd_scaled,height_cd_scaled,Time_num_scaled,Srad_mJ_scaled,Dewpoint_C_scaled,Specific_RH_gkg_scaled,Leaf_Wet_Perc_scaled,Absolute_RH_gm3_scaled,Eto_mm_scaled
Nkuhlu,Flight2_cam1-001-000217-0.tif,-0.39089627461374926,-1.0295601,1.111896159139597,0.6894191801475514,1.0141733119683571,1.8427513,379560.851,-3099256.455807778,3483856.154946909,343.19403076171875,2020-01-16,2020-01-16T11:26:00Z,11:26:00,0.4583333333333333,0.018055555555555554,0,55.92236413888887,31.15699761111112,21.299021275,0,3.9,0.8086713944444446,18.66335697222222,17.839371155555558,Nkuhlu,1970-01-01T11:26:00Z,1579173960,0.47638888888888886,2.447347833475917,-0.9243915241902633,0.5726507061480721,2.3632077676476833,1.6154958660468963,1.9957919585828634,0.6894712497730632,1.5944127033365583,1.6638367163358456,-0.3016389993094663,1.5377398643217606,0.998954157458189
Nkuhlu,Flight2_cam1-001-000301-0.tif,0.21540064866694264,0.5516739,0.7682023355838976,0.4811139107722291,0.6184786942054232,0.98619163,379729.285,-3099390.854315789,3484018.000131065,342.9950561523437,2020-01-16,2020-01-16T11:28:49Z,11:28:49,0.4583333333333333,0.019444444444444445,5.671296296296296e-4,55.73053652777781,31.222499722222217,21.303232125,0,3.9,0.8096071388888888,18.668035694444445,17.84685711111111,Nkuhlu,1970-01-01T11:28:49Z,1579174129,0.47834490740740737,2.4752460831980065,-0.94208996379372,1.399497532304635,1.1021875146442848,0.16763121066313183,2.050294987820811,0.6894712497730632,1.5966886747959692,1.668069540987523,-0.3016389993094663,1.5402408925605273,1.0035750176004719
Nkuhlu,Flight2_cam1-002-000147-0.tif,-0.5908168818521317,-1.1805077,1.0191613149818504,0.6280872128747012,0.9506959567053488,1.0954318,380758.04,-3099421.4049875163,3484253.524110276,344.5668334960937,2020-01-16,2020-01-16T11:45:58Z,11:45:58,0.4583333333333333,0.03125,6.712962962962962e-4,54.55889888888891,31.622571111111103,21.328951,0,3.9,0.8153224444444443,18.69661222222222,17.892579555555553,Nkuhlu,1970-01-01T11:45:58Z,1579175158,0.4902546296296296,2.645641988376616,-1.050187843285148,0.3000058794451992,2.0229615699353727,1.383229327719577,2.3821507102222794,0.6894712497730632,1.6105897696979863,1.6939226319581009,-0.3016389993094663,1.5555165809949987,1.0317981374912018
Hlangwine,Flight1_cam1-002-000068-0.tif,-0.6912816370591266,-0.58747673,0.17447604267925046,0.0805253106239569,0.3839882560966763,0.6390137,542987.726,7210823.889666736,327257.31798986054,680.57757568359375,2020-01-22,2020-01-25T08:49:47Z,08:49:47,0.3333333333333333,0.034027777777777775,5.439814814814816e-4,85,20.2,17.6,0,0,0,15.01,14.49,Hlangwine,1970-01-01T08:49:47Z,1579942187,0.3679050925925926,-2.219388098754627,1.7583754618472023,0.16299551242236984,-1.0762074077540007,-0.6903799982902186,-1.027029893767923,-3.048500907102762,-0.4049144751794894,-0.23001647176355314,-0.3016389993094663,-0.4151755941816073,-2.9943983406289996
Hlangwine,Flight1_cam1-002-000207-0.tif,-0.21917311231392617,-0.25013924,0.15003479176519616,0.07222334486544524,0.30984434266401156,0.7308116,543267.603,7211013.333013721,327246.1334100462,686.22039794921875,2020-01-22,2020-01-25T08:54:27Z,08:54:27,0.3333333333333333,0.0375,3.125e-4,85,20.2,17.6,0,0,0,15.01,14.49,Hlangwine,1970-01-01T08:54:27Z,1579942467,0.3711458333333333,-2.219388098754627,1.7583754618472023,0.8068408302820881,-1.165882898842264,-0.9616759594986266,-0.936729016923987,-3.048500907102762,-0.4049144751794894,-0.23001647176355314,-0.3016389993094663,-0.4151755941816073,-2.9943983406289996
Hlangwine,Flight2_cam1-000-000155-0.tif,-0.2878431291137926,-0.24045181,0.408725531108611,0.2193154955988292,0.3801102079829059,0.7150466,283224.498,7209992.556655519,327866.52339395566,673.7978515625,2020-01-22,2020-01-22T08:40:24Z,08:40:24,0.3333333333333333,0.02777777777777778,2.777777777777778e-4,62.89792499999991,25.467358333333365,17.764084116666673,0,1.838777333333338,0.3379596166666678,15.173267516666671,14.777553550000007,Hlangwine,1970-01-01T08:40:24Z,1579682424,0.36138888888888887,0.02405223723428227,-0.28081085357900837,0.713191030550545,-0.2167408450177139,-0.7045699532295849,-1.2085991568505532,-1.2861166828221477,-0.3162267360113834,-0.06742350068791732,-0.3016389993094663,-0.3279003403276556,-1.3254981065659497
Hlangwine,Flight2_cam1-000-000194-0.tif,-0.4946502842810661,-0.40734482,0.5838678520062296,0.286154923931048,0.5896083777313671,0.7489128,283302.442,7210509.316090543,327518.82615290926,666.0745849609375,2020-01-22,2020-01-22T08:41:42Z,08:41:42,0.3333333333333333,0.02847222222222222,4.861111111111111e-4,62.57315833333341,25.575613888888864,17.787683827777773,0,1.8560982222222184,0.3420733277777767,15.19426909444444,14.801586283333329,Hlangwine,1970-01-01T08:41:42Z,1579682502,0.3622916666666667,0.07015976676975623,-0.31077454442581376,0.4311545673746259,0.42586021055268064,0.06199340581036874,-1.1834439125868843,-1.2695154006685645,-0.3034710527314734,-0.05383454128980497,-0.3016389993094663,-0.31667386938407904,-1.3051839237534841
Hlangwine,Flight2_cam1-000-000224-0.tif,-0.04360770188636023,-0.030845642,0.46513854107414426,0.21693711809979135,0.32050777258112567,0.6151986,283362.501,7210387.496886208,327715.4007541563,682.06146240234375,2020-01-22,2020-01-22T08:42:42Z,08:42:42,0.3333333333333333,0.029166666666666667,4.861111111111111e-4,62.32291250000005,25.65902916666665,17.80586835833333,0,1.869444666666664,0.3452431083333327,15.21045165833333,14.820104474999996,Hlangwine,1970-01-01T08:42:42Z,1579682562,0.3629861111111111,0.10568748046641978,-0.3338627783959642,1.046270879851548,-0.009760261650054685,-0.9226579830362802,-1.164093724691755,-1.2567234422771214,-0.293642283588132,-0.043363699243057996,-0.3016389993094663,-0.3080234201076678,-1.2895310254478456
Hlangwine,Flight2_cam1-000-000240-0.tif,0.27938686569883153,0.22076225,0.02399091965700097,0.01059463287829853,-0.07466662581186144,-0.16139758,283395.067,7210171.632121759,327860.2159190852,680.3531494140625,2020-01-22,2020-01-22T08:43:15Z,08:43:15,0.3333333333333333,0.029861111111111113,1.736111111111111e-4,62.18722083333341,25.7042597222222,17.81572861944444,0,1.8766815555555516,0.3469618694444434,15.219226386111108,14.830145658333327,Hlangwine,1970-01-01T08:43:15Z,1579682595,0.36336805555555557,0.1249517959602733,-0.34638199162748123,1.4867597275081041,-1.6283406580508628,-2.368619132016419,-1.1534511213494338,-1.2497872142850532,-0.2883127959855763,-0.03768605822182374,-0.3016389993094663,-0.3033328569758207,-1.2810435000774394
Hlangwine,Flight2_cam1-000-000262-0.tif,-0.4298656416608906,-0.31048012,0.307827852509496,0.1401901569163889,0.4180704939839807,0.56885797,283439.111,7209879.649778946,328057.2093425103,677.0736083984375,2020-01-22,2020-01-22T08:43:59Z,08:43:59,0.3333333333333333,0.029861111111111113,6.828703703703704e-4,62.00370416666677,25.76543194444441,17.829064163888884,0,1.8864691111111056,0.3492864138888876,15.231093797222217,14.84372589166666,Hlangwine,1970-01-01T08:43:59Z,1579682639,0.3638773148148148,0.15100588647219224,-0.36331364511789993,0.5195056278489669,-0.5869366631392223,-0.5656715352527616,-1.1392609835596736,-1.2404062886054286,-0.28110491193573744,-0.030007312869638602,-0.3016389993094663,-0.29698908854927114,-1.2695645168613792
