,,,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
,,,count,mean,std,min,25%,50%,75%,max
imgf,Topo,Exclosure,,,,,,,,
Flight2_cam1-001-000310-0.tif,Upland,Full,1021440.0,38.83956527709961,2.382617235183716,33.3699951171875,36.970001220703125,38.6099853515625,40.410003662109375,56.80999755859375
Flight2_cam1-001-000310-0.tif,Upland,Open,12120.0,39.31427764892578,3.0571706295013428,34.290008544921875,36.3699951171875,39.57000732421875,41.6099853515625,46.970001220703125
Flight2_cam1-002-000073-0.tif,Upland,Open,1594548.0,40.130367279052734,2.9095637798309326,33.69000244140625,37.80999755859375,39.850006103515625,42.089996337890625,58.529998779296875
Flight2_cam1-002-000073-0.tif,Upland,Partial,711354.0,38.72519302368164,2.3301193714141846,34.57000732421875,37.04998779296875,38.290008544921875,39.730010986328125,51.329986572265625
Flight2_cam1-002-000147-0.tif,Upland,Full,13164.0,37.87637710571289,1.228462815284729,35.649993896484375,36.970001220703125,37.6099853515625,38.649993896484375,42.209991455078125
Flight2_cam1-002-000147-0.tif,Upland,Open,74010.0,39.045162200927734,2.5169780254364014,35.010009765625,37.1300048828125,38.57000732421875,40.329986572265625,47.69000244140625
Flight2_cam1-002-000263-0.tif,Upland,Open,1126956.0,36.010032653808594,1.8376544713974,32.089996337890625,34.57000732421875,35.69000244140625,37.209991455078125,46.489990234375
Flight2_cam1-002-000263-0.tif,Upland,Partial,765204.0,35.45051956176758,1.465335488319397,32.57000732421875,34.329986572265625,35.04998779296875,36.25,42.529998779296875
Flight2_cam1-004-000066-0.tif,Upland,Open,217434.0,38.00218200683594,1.842576503753662,34.769989013671875,36.529998779296875,37.69000244140625,39.04998779296875,46.80999755859375
Flight2_cam1-004-000348-0.tif,Lowland,Full,1249656.0,35.52650833129883,1.194237232208252,33.1300048828125,34.730010986328125,35.25,36.010009765625,46.1300048828125
Flight2_cam1-004-000348-0.tif,Upland,Full,362304.0,36.44941711425781,1.6055505275726318,33.850006103515625,35.329986572265625,36.010009765625,37.209991455078125,47.970001220703125
Flight3_cam1-000-000169-0.tif,Lowland,Open,716202.0,40.37879943847656,3.3052690029144287,33.3699951171875,37.889984130859375,39.57000732421875,42.170013427734375,54.329986572265625
Flight3_cam1-000-000169-0.tif,Lowland,Partial,603036.0,40.025733947753906,3.036823034286499,34.6099853515625,37.80999755859375,39.089996337890625,41.6099853515625,53.69000244140625
Flight3_cam1-001-000056-0.tif,Lowland,Partial,226056.0,38.13836669921875,1.8460025787353516,34.649993896484375,37.010009765625,37.6099853515625,38.6099853515625,49.92999267578125
Flight3_cam1-001-000056-0.tif,Upland,Open,7986.0,40.348960876464844,2.9252071380615234,35.69000244140625,37.3699951171875,40.529998779296875,43.170013427734375,45.92999267578125
Flight3_cam1-001-000056-0.tif,Upland,Partial,947580.0,39.70460510253906,2.918591022491455,34.209991455078125,37.730010986328125,38.970001220703125,40.850006103515625,56.92999267578125
Flight3_cam1-001-000238-0.tif,Lowland,Partial,189438.0,39.78022003173828,3.102886199951172,34.6099853515625,37.45001220703125,38.730010986328125,41.489990234375,51.410003662109375
Flight3_cam1-001-000238-0.tif,Upland,Partial,436044.0,40.11216735839844,2.848985195159912,33.69000244140625,37.850006103515625,39.649993896484375,42.010009765625,54.529998779296875
